ticker,company,source_type,source_url,crawler_grade,vendor_profile,vendor_recommendation,source_fetch_skipped,source_http_status,source_final_url,source_error,archive_pages_seen,candidate_links_seen,q4_feed_candidates_seen,rss_candidates_seen,wordpress_candidates_seen,accepted_documents,rejected_candidates_checked,discovery_pass
AMZN,Amazon.com Inc.,company_earnings_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.aboutamazon.com/quarterly-results/default.aspx,,0,50,50,0,0,32,18,q4_fast
AMZN,Amazon.com Inc.,company_financial_report_archive,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,,0,54,54,0,0,36,18,q4_fast
AMZN,Amazon.com Inc.,company_presentation_archive,https://ir.aboutamazon.com/events/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.aboutamazon.com/events/default.aspx,,0,54,54,0,0,36,18,q4_fast
AMZN,Amazon.com Inc.,company_press_release_archive,https://ir.aboutamazon.com/news-release/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.aboutamazon.com/news-release/default.aspx,,0,50,50,0,0,32,18,q4_fast
AXP,American Express Company,company_financial_report_archive,https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx,,0,142,142,0,0,80,0,q4_fast
AXP,American Express Company,company_financial_report_archive,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,,0,142,142,0,0,80,0,q4_fast
AXP,American Express Company,company_news_archive,https://ir.americanexpress.com/news/investor-relations-news/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/news/investor-relations-news/default.aspx,,0,142,142,0,0,80,0,q4_fast
AXP,American Express Company,company_presentation_archive,https://ir.americanexpress.com/events/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/events/default.aspx,,0,142,142,0,0,80,0,q4_fast
AXP,American Express Company,company_presentation_archive,https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx,,0,142,142,0,0,80,0,q4_fast
AXP,American Express Company,company_press_release_archive,https://ir.americanexpress.com/news-events/press-releases/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/news-events/press-releases/default.aspx,,0,142,142,0,0,80,0,q4_fast
BA,The Boeing Company,company_financial_report_archive,https://investors.boeing.com/investors/reports/,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.boeing.com/investors/reports/,,0,250,250,0,0,80,5,q4_fast
BA,The Boeing Company,company_presentation_archive,https://investors.boeing.com/investors/events-presentations/,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.boeing.com/investors/events-presentations/,,0,250,250,0,0,80,5,q4_fast
BA,The Boeing Company,company_press_release_archive,https://investors.boeing.com/investors/news/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.boeing.com/investors/news/default.aspx,,0,250,250,0,0,80,5,q4_fast
CAT,Caterpillar Inc.,company_earnings_archive,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,,0,75,75,0,0,74,1,q4_fast
CAT,Caterpillar Inc.,company_ir_hub,https://investors.caterpillar.com/overview/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.caterpillar.com/overview/default.aspx,,0,107,107,0,0,80,0,q4_fast
CAT,Caterpillar Inc.,company_presentation_archive,https://investors.caterpillar.com/events-presentations/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.caterpillar.com/events-presentations/default.aspx,,0,107,107,0,0,80,0,q4_fast
CAT,Caterpillar Inc.,company_press_release_archive,https://investors.caterpillar.com/news/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.caterpillar.com/news/default.aspx,,0,107,107,0,0,80,0,q4_fast
CRM,Salesforce Inc.,company_earnings_archive,https://investor.salesforce.com/financials/quarterly-results/,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.salesforce.com/financials/quarterly-results/,,0,250,250,0,0,80,0,q4_fast
CRM,Salesforce Inc.,company_presentation_archive,https://investor.salesforce.com/events-and-presentations/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.salesforce.com/events-and-presentations/default.aspx,,0,250,250,0,0,80,0,q4_fast
CRM,Salesforce Inc.,company_press_release_archive,https://investor.salesforce.com/news/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.salesforce.com/news/default.aspx,,0,250,250,0,0,80,0,q4_fast
CSCO,Cisco Systems Inc.,company_earnings_archive,https://investor.cisco.com/financials/quarterly-results/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.cisco.com/financials/quarterly-results/default.aspx,,0,250,250,0,0,80,0,q4_fast
CSCO,Cisco Systems Inc.,company_presentation_archive,https://investor.cisco.com/events-and-presentations/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.cisco.com/events-and-presentations/default.aspx,,0,250,250,0,0,80,0,q4_fast
CSCO,Cisco Systems Inc.,company_press_release_archive,https://investor.cisco.com/news/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.cisco.com/news/default.aspx,,0,250,250,0,0,80,0,q4_fast
DIS,The Walt Disney Company,company_earnings_archive,https://investors.thewaltdisneycompany.com/financials/quarterly-results/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.thewaltdisneycompany.com/financials/quarterly-results/default.aspx,,0,171,171,0,0,80,44,q4_fast
DIS,The Walt Disney Company,company_ir_hub,https://investors.thewaltdisneycompany.com/,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.thewaltdisneycompany.com/,,0,77,77,0,0,41,36,q4_fast
DIS,The Walt Disney Company,company_presentation_archive,https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx,,0,171,171,0,0,80,44,q4_fast
DIS,The Walt Disney Company,company_press_release_archive,https://investors.thewaltdisneycompany.com/news/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.thewaltdisneycompany.com/news/default.aspx,,0,38,38,0,0,18,20,q4_fast
JNJ,Johnson & Johnson,company_earnings_archive,https://www.investor.jnj.com/financials/quarterly-results/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://www.investor.jnj.com/financials/quarterly-results/default.aspx,,0,250,250,0,0,29,221,q4_fast
JNJ,Johnson & Johnson,company_news_archive,https://www.investor.jnj.com/investor-news/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://www.investor.jnj.com/investor-news/default.aspx,,0,250,250,0,0,29,221,q4_fast
JNJ,Johnson & Johnson,company_presentation_archive,https://www.investor.jnj.com/events-and-presentations/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://www.investor.jnj.com/events-and-presentations/default.aspx,,0,0,0,0,0,0,0,q4_fast
NKE,NIKE Inc.,company_earnings_archive,https://investors.nike.com/investors/news-events-and-reports/default.aspx#quarterly-earnings,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.nike.com/investors/news-events-and-reports/default.aspx#quarterly-earnings,,0,185,185,0,0,80,0,q4_fast
NKE,NIKE Inc.,company_news_archive,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/,,0,0,0,0,0,0,0,q4_fast
TRV,The Travelers Companies Inc.,company_earnings_archive,https://investor.travelers.com/financial-information/quarterly-results/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.travelers.com/financial-information/quarterly-results/default.aspx,,0,0,0,0,0,0,0,q4_fast
TRV,The Travelers Companies Inc.,company_ir_hub,https://investor.travelers.com/home/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.travelers.com/home/default.aspx,,0,0,0,0,0,0,0,q4_fast
TRV,The Travelers Companies Inc.,company_presentation_archive,https://investor.travelers.com/events-and-presentations/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.travelers.com/events-and-presentations/default.aspx,,0,250,250,0,0,80,75,q4_fast
TRV,The Travelers Companies Inc.,company_press_release_archive,https://investor.travelers.com/newsroom/press-releases/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.travelers.com/newsroom/press-releases/default.aspx,,0,250,250,0,0,80,69,q4_fast
V,Visa Inc.,company_earnings_archive,https://investor.visa.com/financial-information/quarterly-earnings/,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.visa.com/financial-information/quarterly-earnings/,,0,250,250,0,0,80,7,q4_fast
V,Visa Inc.,company_presentation_archive,https://investor.visa.com/events-calendar/events-archive/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.visa.com/events-calendar/events-archive/default.aspx,,0,250,250,0,0,80,4,q4_fast
V,Visa Inc.,company_press_release_archive,https://investor.visa.com/news/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investor.visa.com/news/default.aspx,,0,250,250,0,0,80,4,q4_fast
AAPL,Apple Inc.,company_press_release_archive,https://www.apple.com/newsroom/archive/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.apple.com/newsroom/archive/,,0,8,0,0,0,0,8,static_smoke
AAPL,Apple Inc.,company_press_release_archive,https://www.apple.com/newsroom/archive/iphone/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.apple.com/newsroom/archive/iphone/,,0,8,0,0,0,0,8,static_smoke
BA,The Boeing Company,company_press_release_archive,https://boeing.mediaroom.com/news-releases-statements,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://boeing.mediaroom.com/news-releases-statements,,0,8,0,0,0,0,8,static_smoke
CRM,Salesforce Inc.,company_earnings_archive,https://www.salesforce.com/news/topics/earnings/,crawler_ready,wordpress,Use WordPress REST API or sitemap before HTML scraping.,no,200,https://www.salesforce.com/news/topics/earnings/?bc=OTH,,0,8,0,0,8,0,8,static_smoke
CRM,Salesforce Inc.,company_press_release_archive,https://www.salesforce.com/news/content-types/press-releases/,crawler_ready,wordpress,Use WordPress REST API or sitemap before HTML scraping.,no,200,https://www.salesforce.com/news/content-types/press-releases/?bc=OTH,,0,8,0,0,8,0,8,static_smoke
CSCO,Cisco Systems Inc.,company_earnings_archive,https://newsroom.cisco.com/earningsandacquisitions,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://newsroom.cisco.com/c/r/newsroom/en/us/press-room/earnings-and-acquisitions.html,,0,8,0,0,0,0,8,static_smoke
CSCO,Cisco Systems Inc.,company_press_release_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,,0,8,0,0,0,0,8,static_smoke
DIS,The Walt Disney Company,company_press_release_archive,https://thewaltdisneycompany.com/press-releases/,crawler_ready,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,no,200,https://thewaltdisneycompany.com/press-releases/,,0,8,0,0,0,0,8,static_smoke
GS,The Goldman Sachs Group Inc.,company_earnings_archive,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,,0,6,0,0,0,0,6,static_smoke
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,https://www.goldmansachs.com/investor-relations/financials,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.goldmansachs.com/investor-relations/financials,,0,8,0,0,0,0,8,static_smoke
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,https://www.goldmansachs.com/investor-relations/financials/annual-reports,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.goldmansachs.com/investor-relations/financials/annual-reports,,0,7,0,0,0,0,7,static_smoke
GS,The Goldman Sachs Group Inc.,company_presentation_archive,https://www.goldmansachs.com/investor-relations/presentations,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.goldmansachs.com/investor-relations/presentations,,0,6,0,0,0,0,6,static_smoke
GS,The Goldman Sachs Group Inc.,company_press_release_archive,https://www.goldmansachs.com/pressroom,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.goldmansachs.com/pressroom,,0,8,0,0,0,0,8,static_smoke
HD,The Home Depot Inc.,company_earnings_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,,0,8,0,0,0,0,8,static_smoke
HD,The Home Depot Inc.,company_earnings_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/archive,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://ir.homedepot.com/financial-reports/quarterly-earnings/archive,,0,8,0,0,0,0,8,static_smoke
HD,The Home Depot Inc.,company_financial_report_archive,https://ir.homedepot.com/financial-reports/annual-reports/archive,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://ir.homedepot.com/financial-reports/annual-reports/archive,,0,8,0,0,0,0,8,static_smoke
HD,The Home Depot Inc.,company_presentation_archive,https://ir.homedepot.com/events-and-presentations,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://ir.homedepot.com/events-and-presentations,,0,8,0,0,0,0,8,static_smoke
HD,The Home Depot Inc.,company_press_release_archive,https://ir.homedepot.com/news-releases/2025,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://ir.homedepot.com/news-releases/2025,,0,8,0,0,0,0,8,static_smoke
HD,The Home Depot Inc.,company_press_release_archive,https://ir.homedepot.com/news-releases/archive,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://ir.homedepot.com/news-releases/archive,,0,8,0,0,0,0,8,static_smoke
IBM,International Business Machines Corporation,company_earnings_archive,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,,0,8,0,0,0,0,8,static_smoke
IBM,International Business Machines Corporation,company_financial_report_archive,https://www.ibm.com/investor/financial-reporting,crawler_ready,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,no,200,https://www.ibm.com/investor/financial-reporting,,0,8,0,0,0,0,8,static_smoke
IBM,International Business Machines Corporation,company_presentation_archive,https://www.ibm.com/investor/events,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.ibm.com/investor/events,,0,8,0,0,0,0,8,static_smoke
IBM,International Business Machines Corporation,company_press_release_archive,https://newsroom.ibm.com/announcements,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://newsroom.ibm.com/announcements,,0,8,0,0,0,0,8,static_smoke
INTC,Intel Corporation,company_earnings_archive,https://www.intc.com/financial-info/financial-results,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.intc.com/financial-info/financial-results,,0,8,0,0,0,0,8,static_smoke
JNJ,Johnson & Johnson,company_press_release_archive,https://www.jnj.com/media-center/press-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.jnj.com/media-center/press-releases,,2,0,0,0,0,0,0,static_smoke
JPM,JPMorgan Chase & Co.,company_earnings_archive,https://www.jpmorganchase.com/ir/quarterly-earnings,crawler_ready,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,no,200,https://www.jpmorganchase.com/ir/quarterly-earnings,,0,4,0,0,0,0,4,static_smoke
JPM,JPMorgan Chase & Co.,company_financial_report_archive,https://www.jpmorganchase.com/ir/annual-report,crawler_ready,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,no,200,https://www.jpmorganchase.com/ir/annual-report,,0,8,0,0,0,0,8,static_smoke
JPM,JPMorgan Chase & Co.,company_presentation_archive,https://www.jpmorganchase.com/ir/events,crawler_ready,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,no,200,https://www.jpmorganchase.com/ir/events,,0,4,0,0,0,0,4,static_smoke
JPM,JPMorgan Chase & Co.,company_press_release_archive,https://www.jpmorganchase.com/ir/news,crawler_ready,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,no,200,https://www.jpmorganchase.com/ir/news,,0,4,0,0,0,0,4,static_smoke
MCD,McDonald's Corporation,company_financial_report_archive,https://corporate.mcdonalds.com/corpmcd/investors/financial-information.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://corporate.mcdonalds.com/corpmcd/investors/financial-information.html,,0,8,0,0,0,0,8,static_smoke
MCD,McDonald's Corporation,company_ir_hub,https://corporate.mcdonalds.com/corpmcd/investors.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://corporate.mcdonalds.com/corpmcd/investors.html,,0,8,0,0,0,0,8,static_smoke
MCD,McDonald's Corporation,company_presentation_archive,https://corporate.mcdonalds.com/corpmcd/investors/events-and-presentations.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://corporate.mcdonalds.com/corpmcd/investors/events-and-presentations.html,,0,8,0,0,0,0,8,static_smoke
MCD,McDonald's Corporation,company_press_release_archive,https://mcdonalds.mediaroom.com/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://mcdonalds.mediaroom.com/,,0,8,0,0,0,0,8,static_smoke
MRK,Merck & Co. Inc.,company_earnings_archive,https://www.merck.com/investor-relations/financial-information/,crawler_ready,wordpress,Use WordPress REST API or sitemap before HTML scraping.,no,200,https://www.merck.com/investor-relations/financial-information/,,0,8,0,0,0,0,8,static_smoke
MRK,Merck & Co. Inc.,company_ir_hub,https://www.merck.com/investor-relations/,crawler_ready,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,no,200,https://www.merck.com/investor-relations/,,0,8,0,0,0,0,8,static_smoke
MRK,Merck & Co. Inc.,company_presentation_archive,https://www.merck.com/investor-relations/events-and-presentations/,crawler_ready,wordpress,Use WordPress REST API or sitemap before HTML scraping.,no,200,https://www.merck.com/investor-relations/events-and-presentations/,,0,8,0,0,0,0,8,static_smoke
MRK,Merck & Co. Inc.,company_press_release_archive,https://www.merck.com/media/news/,crawler_ready,wordpress,Use WordPress REST API or sitemap before HTML scraping.,no,200,https://www.merck.com/media/news/,,0,7,0,0,0,0,7,static_smoke
MSFT,Microsoft Corporation,company_earnings_archive,https://www.microsoft.com/en-us/investor/earnings/fy-2023-q2/press-release-webcast,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.microsoft.com/en-us/investor/earnings/fy-2023-q2/press-release-webcast,,0,8,0,0,0,0,8,static_smoke
MSFT,Microsoft Corporation,company_earnings_archive,https://www.microsoft.com/en-us/investor/investor-information,crawler_ready,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,no,200,https://www.microsoft.com/en-us/investor/investor-information,,0,8,0,0,0,0,8,static_smoke
MSFT,Microsoft Corporation,company_financial_report_archive,https://www.microsoft.com/en-us/investor/annual-reports,crawler_ready,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,no,200,https://www.microsoft.com/en-us/investor/annual-reports,,0,8,0,0,0,0,8,static_smoke
MSFT,Microsoft Corporation,company_financial_report_archive,https://www.microsoft.com/investor/reports/ar25/index.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.microsoft.com/investor/reports/ar25/index.html,,0,5,0,0,0,0,5,static_smoke
MSFT,Microsoft Corporation,company_presentation_archive,https://www.microsoft.com/en-us/investor/events/default,crawler_ready,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,no,200,https://www.microsoft.com/en-us/investor/events/default,,0,8,0,0,0,0,8,static_smoke
MSFT,Microsoft Corporation,company_press_release_archive,https://news.microsoft.com/source/tag/press-releases/,crawler_ready,wordpress,Use WordPress REST API or sitemap before HTML scraping.,no,200,https://news.microsoft.com/source/tag/press-releases/,,0,8,0,0,0,0,8,static_smoke
PG,The Procter & Gamble Company,company_financial_report_archive,https://www.pginvestor.com/financials/annual-reports/default.aspx,crawler_ready,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,no,200,https://www.pginvestor.com/financials/annual-reports/default.aspx,,0,8,0,0,0,0,8,static_smoke
UNH,UnitedHealth Group Incorporated,company_financial_report_archive,https://www.unitedhealthgroup.com/investors/archive.html,crawler_ready,fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,no,,https://www.unitedhealthgroup.com/investors/archive.html,"ReadTimeout: HTTPSConnectionPool(host='www.unitedhealthgroup.com', port=443): Read timed out. (read timeout=3)",1,8,0,0,0,0,8,static_smoke
UNH,UnitedHealth Group Incorporated,company_financial_report_archive,https://www.unitedhealthgroup.com/investors/financial-reports.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.unitedhealthgroup.com/investors/financial-reports.html,,0,8,0,0,0,0,8,static_smoke
UNH,UnitedHealth Group Incorporated,company_ir_hub,https://www.unitedhealthgroup.com/investors.html,crawler_ready,fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,no,,https://www.unitedhealthgroup.com/investors.html,"ReadTimeout: HTTPSConnectionPool(host='www.unitedhealthgroup.com', port=443): Read timed out. (read timeout=3)",1,8,0,0,0,0,8,static_smoke
UNH,UnitedHealth Group Incorporated,company_press_release_archive,https://www.unitedhealthgroup.com/newsroom/press-releases.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.unitedhealthgroup.com/newsroom/press-releases.html,,0,8,0,0,0,0,8,static_smoke
VZ,Verizon Communications Inc.,company_earnings_archive,https://www.verizon.com/about/investors/quarterly-earnings,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.verizon.com/about/investors/quarterly-earnings,,0,8,0,0,0,0,8,static_smoke
VZ,Verizon Communications Inc.,company_ir_hub,https://www.verizon.com/about/investors,crawler_ready,fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,no,,https://www.verizon.com/about/investors,"ReadTimeout: HTTPSConnectionPool(host='www.verizon.com', port=443): Read timed out. (read timeout=3)",1,8,0,0,0,0,8,static_smoke
VZ,Verizon Communications Inc.,company_news_archive,https://www.verizon.com/about/investors/investor-news,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.verizon.com/about/investors/investor-news,,0,8,0,0,0,0,8,static_smoke
VZ,Verizon Communications Inc.,company_press_release_archive,https://www.verizon.com/about/news,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.verizon.com/about/news,,0,8,0,0,0,0,8,static_smoke
VZ,Verizon Communications Inc.,company_press_release_archive,https://www.verizon.com/about/news/press-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,no,200,https://www.verizon.com/about/news/press-releases,,0,8,0,0,0,0,8,static_smoke
WMT,Walmart Inc.,company_press_release_archive,https://corporate.walmart.com/news,crawler_ready,fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,no,,https://corporate.walmart.com/news,"ReadTimeout: HTTPSConnectionPool(host='corporate.walmart.com', port=443): Read timed out. (read timeout=3)",1,8,0,0,0,0,8,static_smoke
