ticker,company,source_type,url,coverage_note,has_dates,has_full_text,needs_js,notes
"AAPL","Apple Inc.","company_news_archive","https://www.apple.com/newsroom/archive/","Apple official newsroom archive with dated items and full text. Best for product and corporate news and especially useful from the mid-2010s onward.","yes","yes","no","Official company newsroom archive"
"AAPL","Apple Inc.","investor_relations_hub","https://investor.apple.com/","Official IR hub linking to quarterly results annual reports and filings. Strong support for 2021-2023 and useful for older financial backfill.","yes","yes","no","Official Apple investor relations hub"
"AAPL","Apple Inc.","sec_filings_archive","https://investor.apple.com/sec-filings/default.aspx","Official SEC filings archive for older train coverage when newsroom depth is not enough.","yes","yes","no","Good backup source for strict financial-history needs"
"AMGN","Amgen Inc.","ir_press_releases_archive","https://investors.amgen.com/news-and-events/press-releases/","Official IR press release archive with dated release pages and full text.","yes","yes","no","Official IR page"
"AMGN","Amgen Inc.","earnings_results_archive","https://investors.amgen.com/financials/quarterly-earnings/","Official quarterly earnings hub with dated releases presentations and filings.","yes","yes","no","Good fit for earnings-event extraction"
"AMGN","Amgen Inc.","investor_presentations_archive","https://investors.amgen.com/news-and-events/presentations/","Official presentations archive with dated decks including earnings presentations.","yes","yes","no","Useful for slide decks and conference materials"
"AMZN","Amazon.com Inc.","ir_press_releases_archive","https://ir.aboutamazon.com/news-release/default.aspx","Official Amazon IR press release archive with dated release detail pages. Useful for corporate and financial event history.","yes","yes","yes","Official IR provider page and JS-driven list"
"AMZN","Amazon.com Inc.","earnings_results_archive","https://ir.aboutamazon.com/quarterly-results/default.aspx","Official quarterly results hub with dated earnings materials and historical quarters.","yes","yes","yes","Official IR provider page and JS-driven list"
"AMZN","Amazon.com Inc.","annual_reports_archive","https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx","Official annual reports proxy statements and shareholder letters archive. Useful backup for older train years.","yes","yes","yes","Official IR provider page and JS-driven list"
"AXP","American Express Company","ir_press_releases_archive","https://ir.americanexpress.com/news-events/press-releases/default.aspx","Official IR news archive with dated release pages and full text.","yes","yes","yes","Official IR provider page"
"AXP","American Express Company","financial_reports_archive","https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx","Official financial documents hub for quarterly and annual materials.","yes","yes","yes","Good for earnings releases and annual documents"
"AXP","American Express Company","investor_presentations_archive","https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx","Official events and presentations archive with dated decks webcasts and transcripts.","yes","yes","yes","Useful for investor event materials"
"BA","The Boeing Company","ir_press_releases_archive","https://investors.boeing.com/investors/news/default.aspx","Official Boeing IR news archive with dated release detail pages and full text.","yes","yes","no","Official company IR page"
"BA","The Boeing Company","financial_reports_archive","https://investors.boeing.com/investors/reports/","Official reports hub linking quarterly reports annual reports and SEC filings.","yes","yes","no","Useful backup for older financial periods"
"BA","The Boeing Company","investor_presentations_archive","https://investors.boeing.com/investors/events-presentations/","Official events and presentations archive with dated earnings calls and presentations.","yes","yes","no","Good for event-driven datasets"
"CAT","Caterpillar Inc.","earnings_results_archive","https://investors.caterpillar.com/financials/quarterly-results/default.aspx","Official quarterly results archive with dated releases and presentations.","yes","yes","no","Strong official earnings source"
"CAT","Caterpillar Inc.","investor_presentations_archive","https://investors.caterpillar.com/events-presentations/default.aspx","Official events and presentations archive with dated conference materials.","yes","yes","no","Useful for presentations and event timing"
"CAT","Caterpillar Inc.","investor_relations_hub","https://investors.caterpillar.com/overview/default.aspx","Overview page exposing news releases quarterly results and presentations from the same official IR site.","yes","yes","no","Good discovery page if crawling multiple source types"
"CRM","Salesforce Inc.","ir_press_releases_archive","https://investor.salesforce.com/news/default.aspx","Official Salesforce investor news archive with dated detail pages.","yes","yes","no","Official IR page"
"CRM","Salesforce Inc.","earnings_results_archive","https://investor.salesforce.com/financials/quarterly-results/","Official quarterly results hub with earnings materials and dated filings.","yes","yes","no","Good fit for quarterly results"
"CRM","Salesforce Inc.","investor_presentations_archive","https://investor.salesforce.com/events-and-presentations/default.aspx","Official investor events and presentations archive with webcast and deck links.","yes","yes","no","Useful for conference and earnings materials"
"CSCO","Cisco Systems Inc.","ir_press_releases_archive","https://investor.cisco.com/news/default.aspx","Official Cisco IR news archive with dated release pages.","yes","yes","no","Official IR page"
"CSCO","Cisco Systems Inc.","earnings_results_archive","https://investor.cisco.com/financials/quarterly-results/default.aspx","Official quarterly results page with dated earnings releases and transcripts. Search results showed at least 2020 materials on-page.","yes","yes","no","Solid source for earnings backfill"
"CSCO","Cisco Systems Inc.","investor_presentations_archive","https://investor.cisco.com/events-and-presentations/default.aspx","Official events and presentations archive with dated earnings and conference materials.","yes","yes","no","Useful for slide decks and webcast metadata"
"CVX","Chevron Corporation","investor_relations_hub","https://www.chevron.com/investors","Official Chevron investor relations hub covering financials events and news. Strong official source for recent history.","yes","yes","no","Use together with reports and events pages"
"CVX","Chevron Corporation","investor_presentations_archive","https://www.chevron.com/investors/events-presentations","Official investor events and presentations page with dated materials.","yes","yes","no","Useful for earnings calls and investor day materials"
"CVX","Chevron Corporation","financial_reports_archive","https://www.chevron.com/investors/reports-and-filings","Official reports and filings hub for annual and statutory materials.","yes","yes","no","Good backup source for older train windows"
"DIS","The Walt Disney Company","ir_press_releases_archive","https://investors.thewaltdisneycompany.com/news/default.aspx","Official Disney IR news archive. Search results show dated entries and year selection.","yes","yes","yes","Official IR provider page with JS-driven year filter"
"DIS","The Walt Disney Company","investor_presentations_archive","https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx","Official Disney events and presentations archive with archived events and webcast materials.","yes","yes","yes","Official IR provider page with JS-driven year filter"
"DIS","The Walt Disney Company","investor_relations_hub","https://investors.thewaltdisneycompany.com/","Official IR hub linking news quarterly results annual reports and events.","yes","yes","yes","Useful discovery page for adjacent archives"
"GS","The Goldman Sachs Group Inc.","ir_press_releases_archive","https://www.goldmansachs.com/pressroom","Official Goldman Sachs pressroom with dated firm announcements and press releases.","yes","yes","no","Official company press page"
"GS","The Goldman Sachs Group Inc.","financial_reports_archive","https://www.goldmansachs.com/investor-relations/financials","Official investor financials page with earnings releases results and annual documents.","yes","yes","no","Good source for earnings-related materials"
"GS","The Goldman Sachs Group Inc.","investor_presentations_archive","https://www.goldmansachs.com/investor-relations/presentations","Official presentations page for investor materials and conference decks.","yes","yes","no","Official investor presentations page"
"HD","The Home Depot Inc.","ir_press_releases_archive","https://ir.homedepot.com/news-releases/2025","Official Home Depot IR news archive using year pages and pagination. Good for dated releases.","yes","yes","no","Year-based archive route on official IR site"
"HD","The Home Depot Inc.","earnings_results_archive","https://ir.homedepot.com/financial-reports/quarterly-earnings/2025","Official quarterly earnings year page with dated quarterly releases and related materials.","yes","yes","no","Year-based earnings archive route"
"HD","The Home Depot Inc.","investor_presentations_archive","https://ir.homedepot.com/events-and-presentations","Official events and presentations archive with dated earnings calls and investor conference decks.","yes","yes","no","Strong official event source"
"HON","Honeywell International Inc.","earnings_results_archive","https://investor.honeywell.com/financial-information/quarterly-results","Official quarterly results archive with releases presentations and filings. Search results show several historical years on-page.","yes","yes","no","Historical quarters visible directly"
"HON","Honeywell International Inc.","investor_presentations_archive","https://investor.honeywell.com/events-and-presentations/presentations","Official presentations archive with explicit year filter including 2010 and newer.","yes","yes","no","Strong fit for 2010-2023 presentation coverage"
"HON","Honeywell International Inc.","events_archive","https://investor.honeywell.com/events-and-presentations/events","Official events archive with dated conference and earnings call materials.","yes","yes","no","Useful for event timing and webcast links"
"IBM","International Business Machines Corporation","company_news_archive","https://newsroom.ibm.com/announcements","Official IBM newsroom press release archive with year and category filters.","yes","yes","no","Official newsroom archive"
"IBM","International Business Machines Corporation","earnings_results_archive","https://www.ibm.com/investor/financial-reporting/quarterly-earnings","Official IBM quarterly earnings hub. IBM states the page includes archived quarterly materials back to 2008 for older years.","yes","yes","no","Very strong fit for long train windows"
"IBM","International Business Machines Corporation","investor_presentations_archive","https://www.ibm.com/investor/events","Official IBM events and presentations archive with dated events and earnings announcements.","yes","yes","no","Useful for investor event materials"
"INTC","Intel Corporation","ir_press_releases_archive","https://www.intc.com/news-events/press-releases","Official Intel press release archive with dated items and full detail pages.","yes","yes","no","Official IR page"
"INTC","Intel Corporation","earnings_results_archive","https://www.intc.com/financial-info/financial-results","Official Intel financial results archive with dated quarters and downloadable materials.","yes","yes","no","Good fit for quarter-level extraction"
"INTC","Intel Corporation","investor_presentations_archive","https://www.intc.com/news-events/presentations","Official Intel presentations archive with dated earnings and event decks.","yes","yes","no","Useful for slide decks and prepared remarks"
"JNJ","Johnson & Johnson","investor_relations_hub","https://www.investor.jnj.com/overview/default.aspx","Official J&J IR hub linking investor news quarterly results and events presentations.","yes","yes","yes","Official IR provider page"
"JNJ","Johnson & Johnson","earnings_results_archive","https://www.investor.jnj.com/financials/quarterly-results/default.aspx","Official quarterly results archive with press releases supplemental schedules and earnings presentations.","yes","yes","yes","Strong earnings source on official IR site"
"JNJ","Johnson & Johnson","investor_presentations_archive","https://www.investor.jnj.com/events-and-presentations/default.aspx","Official events and presentations archive with dated decks press releases and transcripts.","yes","yes","yes","Useful for earnings and conference materials"
"JPM","JPMorgan Chase & Co.","ir_press_releases_archive","https://www.jpmorganchase.com/ir/news","Official JPMorganChase IR news archive with dated firm press releases.","yes","yes","no","Official company IR page"
"JPM","JPMorgan Chase & Co.","earnings_results_archive","https://www.jpmorganchase.com/ir/quarterly-earnings","Official quarterly earnings hub with dated press releases presentations supplements and transcripts.","yes","yes","no","Very good earnings source"
"JPM","JPMorgan Chase & Co.","investor_presentations_archive","https://www.jpmorganchase.com/ir/events","Official events and presentations archive with investor day and conference materials.","yes","yes","no","Useful for investor event history"
"KO","The Coca-Cola Company","ir_press_releases_archive","https://investors.coca-colacompany.com/news-events/press-releases","Official Coca-Cola press release archive with dated detail pages and PDFs.","yes","yes","no","Official IR news archive"
"KO","The Coca-Cola Company","earnings_results_archive","https://investors.coca-colacompany.com/financial-information","Official financial information page with dated earnings releases call transcripts and annual reports. Search results show multiple historical years on-page.","yes","yes","no","Good multi-year earnings hub"
"KO","The Coca-Cola Company","investor_relations_hub","https://investors.coca-colacompany.com/news-events","Official news and events hub linking releases and investor events.","yes","yes","no","Useful discovery page for adjacent archives"
"MCD","McDonald's Corporation","investor_relations_hub","https://corporate.mcdonalds.com/corpmcd/investors.html","Official McDonald's investor relations hub with latest financial news and shareholder resources.","yes","yes","no","Official company investor page"
"MCD","McDonald's Corporation","financial_reports_archive","https://corporate.mcdonalds.com/corpmcd/investors/financial-information.html","Official financial information page for quarterly results annual reports and related filings.","yes","yes","no","Good core source for financial documents"
"MCD","McDonald's Corporation","investor_presentations_archive","https://corporate.mcdonalds.com/corpmcd/investors/events-and-presentations.html","Official events and presentations page with shareholder meeting and investor presentation materials.","yes","yes","no","Useful for presentations and event metadata"
"MMM","3M Company","ir_press_releases_archive","https://investors.3m.com/news-events/press-releases","Official 3M press release archive with dated items and category filters.","yes","yes","no","Official IR archive"
"MMM","3M Company","earnings_results_archive","https://investors.3m.com/news-events/earnings-releases","Official 3M earnings release archive with dated result pages.","yes","yes","no","Strong quarter-result source"
"MMM","3M Company","investor_presentations_archive","https://investors.3m.com/news-events/events-presentations","Official 3M events and presentations archive with dated conference and earnings materials.","yes","yes","no","Useful for event-driven datasets"
"MRK","Merck & Co. Inc.","company_news_archive","https://www.merck.com/media/news/","Official Merck news release archive with explicit year filter including 2010-2026.","yes","yes","no","Very strong fit for long historical coverage"
"MRK","Merck & Co. Inc.","earnings_results_archive","https://www.merck.com/investor-relations/financial-information/","Official financial information page with quarterly reports and annual reports. Explicit year menu includes 2010-2026.","yes","yes","no","Strong fit for 2010-2023 financial coverage"
"MRK","Merck & Co. Inc.","investor_presentations_archive","https://www.merck.com/investor-relations/events-and-presentations/","Official Merck events and presentations archive with dated webcast presentation and transcript links.","yes","yes","no","Useful for earnings calls and conferences"
"MSFT","Microsoft Corporation","company_news_archive","https://news.microsoft.com/source/tag/press-releases/","Official Microsoft press release archive with very large dated archive and full text pages.","yes","yes","no","Official company newsroom archive"
"MSFT","Microsoft Corporation","investor_presentations_archive","https://www.microsoft.com/en-us/investor/events/default","Official Microsoft investor events and presentations archive with past events pages.","yes","yes","no","Useful for earnings and conference materials"
"MSFT","Microsoft Corporation","annual_reports_archive","https://www.microsoft.com/investor/reports/ar25/index.html","Official Microsoft annual report series. Current year page is here and older years follow the same official investor reports structure.","yes","yes","no","Useful backup for financial history"
"NKE","NIKE Inc.","investor_reports_hub","https://investors.nike.com/investors/news-events-and-reports/default.aspx","Official NIKE combined hub covering investor news quarterly earnings annual reports and events presentations.","yes","yes","no","Good all-in-one official source"
"NKE","NIKE Inc.","investor_relations_hub","https://investors.nike.com/Home/default.aspx","Official NIKE investor relations home page with latest news and presentations.","yes","yes","no","Good discovery page for adjacent materials"
"NKE","NIKE Inc.","investor_resources_archive","https://investors.nike.com/investors/resources/default.aspx","Official investor resources page with annual report access and shareholder materials.","yes","yes","no","Useful backup route for annual materials"
"PG","The Procter & Gamble Company","investor_relations_hub","https://www.pginvestor.com/overview/default.aspx","Official P&G investor hub with latest news events and annual results.","yes","yes","no","Official IR overview page"
"PG","The Procter & Gamble Company","ir_press_releases_archive","https://www.pginvestor.com/news/default.aspx","Official P&G news archive with year and category selectors. Page is JS-driven.","yes","yes","yes","Official IR news page"
"PG","The Procter & Gamble Company","investor_presentations_archive","https://www.pginvestor.com/events-and-presentations/default.aspx","Official P&G events and presentations archive with archived event year selector. Page is JS-driven.","yes","yes","yes","Useful for investor events and webcasts"
"TRV","The Travelers Companies Inc.","ir_press_releases_archive","https://investor.travelers.com/newsroom/press-releases/default.aspx","Official Travelers press release archive on the investor newsroom site.","yes","yes","no","Official IR newsroom route"
"TRV","The Travelers Companies Inc.","earnings_results_archive","https://investor.travelers.com/financial-information/quarterly-results/default.aspx","Official Travelers quarterly results archive linked from the investor site navigation.","yes","yes","no","Good core source for quarter-level materials"
"TRV","The Travelers Companies Inc.","investor_presentations_archive","https://investor.travelers.com/events-and-presentations/default.aspx","Official Travelers events and presentations archive linked from the investor site navigation.","yes","yes","no","Useful for earnings calls and investor events"
"UNH","UnitedHealth Group Incorporated","investor_relations_hub","https://www.unitedhealthgroup.com/investors.html","Official UnitedHealth Group investor hub with links to reports archive and shareholder resources.","yes","yes","no","Official company investor page"
"UNH","UnitedHealth Group Incorporated","financial_reports_archive","https://www.unitedhealthgroup.com/investors/financial-reports.html","Official financial reports page with earnings releases quarterly and annual reports. Strong recent coverage from 2020s.","yes","yes","no","Good core financial source"
"UNH","UnitedHealth Group Incorporated","archive_hub","https://www.unitedhealthgroup.com/investors/archive.html","Official archive page for dividends earnings annual reports and filings. Search results explicitly describe historical archive coverage.","yes","yes","no","Useful historical backup source"
"V","Visa Inc.","ir_press_releases_archive","https://investor.visa.com/news/default.aspx","Official Visa press release archive with dated items and year selector.","yes","yes","yes","Official IR provider page"
"V","Visa Inc.","earnings_results_archive","https://investor.visa.com/financial-information/quarterly-earnings/","Official Visa quarterly earnings archive with archived reports section.","yes","yes","yes","Good fit for quarter-level extraction"
"V","Visa Inc.","investor_presentations_archive","https://investor.visa.com/events-calendar/events-archive/default.aspx","Official Visa events archive with earnings conference calls and event materials.","yes","yes","yes","Useful for presentations and webcasts"
"VZ","Verizon Communications Inc.","company_news_archive","https://www.verizon.com/about/news","Official Verizon newsroom with latest company news and stories.","yes","yes","no","Official company newsroom"
"VZ","Verizon Communications Inc.","ir_press_releases_archive","https://www.verizon.com/about/news/press-releases","Official Verizon press release archive with explicit year filter including 2010-2026.","yes","yes","no","Very strong fit for long historical coverage"
"VZ","Verizon Communications Inc.","earnings_results_archive","https://www.verizon.com/about/investors/quarterly-earnings","Official Verizon quarterly earnings archive with presentations financial statements and transcripts.","yes","yes","no","Good fit for 2021-2023 and adjacent years"
"WMT","Walmart Inc.","investor_relations_hub","https://stock.walmart.com/","Official Walmart investor relations hub with latest financial results reports and news.","yes","yes","no","Official IR hub"
"WMT","Walmart Inc.","earnings_results_archive","https://stock.walmart.com/financial-information/financial-results","Official Walmart financial results archive. Search results show FY2022 materials directly on-page.","yes","yes","no","Strong recent-historical earnings source"
"WMT","Walmart Inc.","company_news_archive","https://corporate.walmart.com/news","Official Walmart newsroom with dated corporate announcements and finance-tagged news.","yes","yes","no","Official company newsroom"
