ticker,company,source_type,url,coverage_note,has_dates,has_full_text,needs_js,notes,canonical_url,is_new_vs_previous_review,http_status,final_url,content_type,title_hint,fetch_error,vendor_profile,vendor_recommendation,q4_year_endpoint_status,q4_years_2010_2023,q4_has_train,q4_has_oos,q4_error,likely_value
AAPL,Apple Inc.,company_news_archive,https://www.apple.com/newsroom/archive/,Apple official newsroom archive with dated items and full text. Best for product and corporate news and especially useful from the mid-2010s onward.,yes,yes,no,Official company newsroom archive,https://www.apple.com/newsroom/archive/,no,200,https://www.apple.com/newsroom/archive/,text/html;charset=utf-8,All Topics Archive - Apple,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
AAPL,Apple Inc.,investor_relations_hub,https://investor.apple.com/,Official IR hub linking to quarterly results annual reports and filings. Strong support for 2021-2023 and useful for older financial backfill.,yes,yes,no,Official Apple investor relations hub,https://investor.apple.com/,yes,200,https://investor.apple.com/investor-relations/default.aspx,text/html; charset=utf-8,Investor Relations - Apple,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,,no,no,,medium_vendor_or_browser
AAPL,Apple Inc.,sec_filings_archive,https://investor.apple.com/sec-filings/default.aspx,Official SEC filings archive for older train coverage when newsroom depth is not enough.,yes,yes,no,Good backup source for strict financial-history needs,https://investor.apple.com/sec-filings/default.aspx,yes,403,https://investor.apple.com/sec-filings/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,,no,no,,medium_duplicate_sec
AMGN,Amgen Inc.,earnings_results_archive,https://investors.amgen.com/financials/quarterly-earnings/,Official quarterly earnings hub with dated releases presentations and filings.,yes,yes,no,Good fit for earnings-event extraction,https://investors.amgen.com/financials/quarterly-earnings/,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
AMGN,Amgen Inc.,investor_presentations_archive,https://investors.amgen.com/news-and-events/presentations/,Official presentations archive with dated decks including earnings presentations.,yes,yes,no,Useful for slide decks and conference materials,https://investors.amgen.com/news-and-events/presentations/,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
AMGN,Amgen Inc.,ir_press_releases_archive,https://investors.amgen.com/news-and-events/press-releases/,Official IR press release archive with dated release pages and full text.,yes,yes,no,Official IR page,https://investors.amgen.com/news-and-events/press-releases/,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
AMZN,Amazon.com Inc.,annual_reports_archive,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,Official annual reports proxy statements and shareholder letters archive. Useful backup for older train years.,yes,yes,yes,Official IR provider page and JS-driven list,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,no,403,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,low_blocked_unless_feed
AMZN,Amazon.com Inc.,earnings_results_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,Official quarterly results hub with dated earnings materials and historical quarters.,yes,yes,yes,Official IR provider page and JS-driven list,https://ir.aboutamazon.com/quarterly-results/default.aspx,no,403,https://ir.aboutamazon.com/quarterly-results/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,low_blocked_unless_feed
AMZN,Amazon.com Inc.,ir_press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,Official Amazon IR press release archive with dated release detail pages. Useful for corporate and financial event history.,yes,yes,yes,Official IR provider page and JS-driven list,https://ir.aboutamazon.com/news-release/default.aspx,no,403,https://ir.aboutamazon.com/news-release/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,low_blocked_unless_feed
AXP,American Express Company,financial_reports_archive,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,Official financial documents hub for quarterly and annual materials.,yes,yes,yes,Good for earnings releases and annual documents,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,yes,404,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,text/html; charset=utf-8,Page Not Found,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018,yes,yes,,high_q4_feed
AXP,American Express Company,investor_presentations_archive,https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx,Official events and presentations archive with dated decks webcasts and transcripts.,yes,yes,yes,Useful for investor event materials,https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx,yes,404,https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx,text/html; charset=utf-8,Page Not Found,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018,yes,yes,,high_q4_feed
AXP,American Express Company,ir_press_releases_archive,https://ir.americanexpress.com/news-events/press-releases/default.aspx,Official IR news archive with dated release pages and full text.,yes,yes,yes,Official IR provider page,https://ir.americanexpress.com/news-events/press-releases/default.aspx,yes,404,https://ir.americanexpress.com/news-events/press-releases/default.aspx,text/html; charset=utf-8,Page Not Found,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018,yes,yes,,high_q4_feed
BA,The Boeing Company,financial_reports_archive,https://investors.boeing.com/investors/reports/,Official reports hub linking quarterly reports annual reports and SEC filings.,yes,yes,no,Useful backup for older financial periods,https://investors.boeing.com/investors/reports/,no,200,https://investors.boeing.com/investors/reports/,text/html; charset=utf-8,Boeing Company - Investors - Reports,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015|2014|2013|2012|2011,yes,yes,,high_q4_feed
BA,The Boeing Company,investor_presentations_archive,https://investors.boeing.com/investors/events-presentations/,Official events and presentations archive with dated earnings calls and presentations.,yes,yes,no,Good for event-driven datasets,https://investors.boeing.com/investors/events-presentations/,no,200,https://investors.boeing.com/investors/events-presentations/,text/html; charset=utf-8,Boeing Company - Investors - Events & Presentations,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015|2014|2013|2012|2011,yes,yes,,high_q4_feed
BA,The Boeing Company,ir_press_releases_archive,https://investors.boeing.com/investors/news/default.aspx,Official Boeing IR news archive with dated release detail pages and full text.,yes,yes,no,Official company IR page,https://investors.boeing.com/investors/news/default.aspx,no,200,https://investors.boeing.com/investors/news/default.aspx,text/html; charset=utf-8,Boeing Company - Investors - News,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015|2014|2013|2012|2011,yes,yes,,high_q4_feed
CAT,Caterpillar Inc.,earnings_results_archive,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,Official quarterly results archive with dated releases and presentations.,yes,yes,no,Strong official earnings source,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,no,403,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019,yes,yes,,low_blocked_unless_feed
CAT,Caterpillar Inc.,investor_presentations_archive,https://investors.caterpillar.com/events-presentations/default.aspx,Official events and presentations archive with dated conference materials.,yes,yes,no,Useful for presentations and event timing,https://investors.caterpillar.com/events-presentations/default.aspx,no,403,https://investors.caterpillar.com/events-presentations/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019,yes,yes,,low_blocked_unless_feed
CAT,Caterpillar Inc.,investor_relations_hub,https://investors.caterpillar.com/overview/default.aspx,Overview page exposing news releases quarterly results and presentations from the same official IR site.,yes,yes,no,Good discovery page if crawling multiple source types,https://investors.caterpillar.com/overview/default.aspx,yes,200,https://investors.caterpillar.com/overview/default.aspx,text/html; charset=utf-8,Caterpillar Inc. - Overview,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019,yes,yes,,high_q4_feed
CRM,Salesforce Inc.,earnings_results_archive,https://investor.salesforce.com/financials/quarterly-results/,Official quarterly results hub with earnings materials and dated filings.,yes,yes,no,Good fit for quarterly results,https://investor.salesforce.com/financials/quarterly-results/,no,403,https://investor.salesforce.com/financials/quarterly-results/,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015|2014|2013,yes,yes,,low_blocked_unless_feed
CRM,Salesforce Inc.,investor_presentations_archive,https://investor.salesforce.com/events-and-presentations/default.aspx,Official investor events and presentations archive with webcast and deck links.,yes,yes,no,Useful for conference and earnings materials,https://investor.salesforce.com/events-and-presentations/default.aspx,no,403,https://investor.salesforce.com/events-and-presentations/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015|2014|2013,yes,yes,,low_blocked_unless_feed
CRM,Salesforce Inc.,ir_press_releases_archive,https://investor.salesforce.com/news/default.aspx,Official Salesforce investor news archive with dated detail pages.,yes,yes,no,Official IR page,https://investor.salesforce.com/news/default.aspx,yes,200,https://investor.salesforce.com/news/default.aspx,text/html; charset=utf-8,"Salesforce.com, Inc. - Investor News",,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015|2014|2013,yes,yes,,high_q4_feed
CSCO,Cisco Systems Inc.,earnings_results_archive,https://investor.cisco.com/financials/quarterly-results/default.aspx,Official quarterly results page with dated earnings releases and transcripts. Search results showed at least 2020 materials on-page.,yes,yes,no,Solid source for earnings backfill,https://investor.cisco.com/financials/quarterly-results/default.aspx,no,403,https://investor.cisco.com/financials/quarterly-results/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,low_blocked_unless_feed
CSCO,Cisco Systems Inc.,investor_presentations_archive,https://investor.cisco.com/events-and-presentations/default.aspx,Official events and presentations archive with dated earnings and conference materials.,yes,yes,no,Useful for slide decks and webcast metadata,https://investor.cisco.com/events-and-presentations/default.aspx,no,403,https://investor.cisco.com/events-and-presentations/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,low_blocked_unless_feed
CSCO,Cisco Systems Inc.,ir_press_releases_archive,https://investor.cisco.com/news/default.aspx,Official Cisco IR news archive with dated release pages.,yes,yes,no,Official IR page,https://investor.cisco.com/news/default.aspx,yes,200,https://investor.cisco.com/news/default.aspx,text/html; charset=utf-8,Cisco Systems Inc. - News,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,high_q4_feed
CVX,Chevron Corporation,financial_reports_archive,https://www.chevron.com/investors/reports-and-filings,Official reports and filings hub for annual and statutory materials.,yes,yes,no,Good backup source for older train windows,https://www.chevron.com/investors/reports-and-filings,yes,403,https://www.chevron.com/investors/reports-and-filings,text/html,Service unavailable,,fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
CVX,Chevron Corporation,investor_presentations_archive,https://www.chevron.com/investors/events-presentations,Official investor events and presentations page with dated materials.,yes,yes,no,Useful for earnings calls and investor day materials,https://www.chevron.com/investors/events-presentations,no,403,https://www.chevron.com/investors/events-presentations,text/html,Service unavailable,,fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
CVX,Chevron Corporation,investor_relations_hub,https://www.chevron.com/investors,Official Chevron investor relations hub covering financials events and news. Strong official source for recent history.,yes,yes,no,Use together with reports and events pages,https://www.chevron.com/investors,yes,403,https://www.chevron.com/investors,text/html,Service unavailable,,fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
DIS,The Walt Disney Company,investor_presentations_archive,https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx,Official Disney events and presentations archive with archived events and webcast materials.,yes,yes,yes,Official IR provider page with JS-driven year filter,https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx,no,403,https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,low_blocked_unless_feed
DIS,The Walt Disney Company,investor_relations_hub,https://investors.thewaltdisneycompany.com/,Official IR hub linking news quarterly results annual reports and events.,yes,yes,yes,Useful discovery page for adjacent archives,https://investors.thewaltdisneycompany.com/,yes,200,https://investors.thewaltdisneycompany.com/,text/html; charset=utf-8,The Walt Disney Company - Investor Relations,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,high_q4_feed
DIS,The Walt Disney Company,ir_press_releases_archive,https://investors.thewaltdisneycompany.com/news/default.aspx,Official Disney IR news archive. Search results show dated entries and year selection.,yes,yes,yes,Official IR provider page with JS-driven year filter,https://investors.thewaltdisneycompany.com/news/default.aspx,no,200,https://investors.thewaltdisneycompany.com/news/default.aspx,text/html; charset=utf-8,The Walt Disney Company - News,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,high_q4_feed
GS,The Goldman Sachs Group Inc.,financial_reports_archive,https://www.goldmansachs.com/investor-relations/financials,Official investor financials page with earnings releases results and annual documents.,yes,yes,no,Good source for earnings-related materials,https://www.goldmansachs.com/investor-relations/financials,yes,200,https://www.goldmansachs.com/investor-relations/financials,text/html; charset=UTF-8,Financials | Goldman Sachs,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
GS,The Goldman Sachs Group Inc.,investor_presentations_archive,https://www.goldmansachs.com/investor-relations/presentations,Official presentations page for investor materials and conference decks.,yes,yes,no,Official investor presentations page,https://www.goldmansachs.com/investor-relations/presentations,no,200,https://www.goldmansachs.com/investor-relations/presentations,text/html; charset=UTF-8,Presentations | Goldman Sachs,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
GS,The Goldman Sachs Group Inc.,ir_press_releases_archive,https://www.goldmansachs.com/pressroom,Official Goldman Sachs pressroom with dated firm announcements and press releases.,yes,yes,no,Official company press page,https://www.goldmansachs.com/pressroom,no,200,https://www.goldmansachs.com/pressroom,text/html; charset=UTF-8,Pressroom | Goldman Sachs,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
HD,The Home Depot Inc.,earnings_results_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,Official quarterly earnings year page with dated quarterly releases and related materials.,yes,yes,no,Year-based earnings archive route,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,yes,200,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,text/html; charset=utf-8,Quarterly Earnings 2025 | The Home Depot,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
HD,The Home Depot Inc.,investor_presentations_archive,https://ir.homedepot.com/events-and-presentations,Official events and presentations archive with dated earnings calls and investor conference decks.,yes,yes,no,Strong official event source,https://ir.homedepot.com/events-and-presentations,no,200,https://ir.homedepot.com/events-and-presentations,text/html; charset=utf-8,Events & Presentations | The Home Depot,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
HD,The Home Depot Inc.,ir_press_releases_archive,https://ir.homedepot.com/news-releases/2025,Official Home Depot IR news archive using year pages and pagination. Good for dated releases.,yes,yes,no,Year-based archive route on official IR site,https://ir.homedepot.com/news-releases/2025,yes,200,https://ir.homedepot.com/news-releases/2025,text/html; charset=utf-8,News Releases 2025 | The Home Depot,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
HON,Honeywell International Inc.,earnings_results_archive,https://investor.honeywell.com/financial-information/quarterly-results,Official quarterly results archive with releases presentations and filings. Search results show several historical years on-page.,yes,yes,no,Historical quarters visible directly,https://investor.honeywell.com/financial-information/quarterly-results,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='investor.honeywell.com', port=443): Read timed out. (read timeout=8)",fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
HON,Honeywell International Inc.,events_archive,https://investor.honeywell.com/events-and-presentations/events,Official events archive with dated conference and earnings call materials.,yes,yes,no,Useful for event timing and webcast links,https://investor.honeywell.com/events-and-presentations/events,no,200,https://investor.honeywell.com/events-and-presentations/events,text/html; charset=UTF-8,Events | Honeywell International Inc.,,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,,,no,no,,medium_vendor_or_browser
HON,Honeywell International Inc.,investor_presentations_archive,https://investor.honeywell.com/events-and-presentations/presentations,Official presentations archive with explicit year filter including 2010 and newer.,yes,yes,no,Strong fit for 2010-2023 presentation coverage,https://investor.honeywell.com/events-and-presentations/presentations,no,200,https://investor.honeywell.com/events-and-presentations/presentations,text/html; charset=UTF-8,Presentations | Honeywell International Inc.,,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,,,no,no,,medium_vendor_or_browser
IBM,International Business Machines Corporation,company_news_archive,https://newsroom.ibm.com/announcements,Official IBM newsroom press release archive with year and category filters.,yes,yes,no,Official newsroom archive,https://newsroom.ibm.com/announcements,no,200,https://newsroom.ibm.com/announcements,text/html; charset=UTF-8,IBM - Announcements,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
IBM,International Business Machines Corporation,earnings_results_archive,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,Official IBM quarterly earnings hub. IBM states the page includes archived quarterly materials back to 2008 for older years.,yes,yes,no,Very strong fit for long train windows,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,no,200,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,text/html;charset=utf-8,Quarterly Earnings Announcements | IBM,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
IBM,International Business Machines Corporation,investor_presentations_archive,https://www.ibm.com/investor/events,Official IBM events and presentations archive with dated events and earnings announcements.,yes,yes,no,Useful for investor event materials,https://www.ibm.com/investor/events,no,200,https://www.ibm.com/investor/events,text/html;charset=utf-8,Events and Presentations - Investor Relations | IBM,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
INTC,Intel Corporation,earnings_results_archive,https://www.intc.com/financial-info/financial-results,Official Intel financial results archive with dated quarters and downloadable materials.,yes,yes,no,Good fit for quarter-level extraction,https://www.intc.com/financial-info/financial-results,no,200,https://www.intc.com/financial-info/financial-results,text/html; charset=UTF-8,Financial Results :: Intel Corporation (INTC),,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
